trackkey,date,latitude,longitude
13751,2/19/2011 0:00:00,-70.3425,-25.66
13751,2/20/2011 0:00:00,-70.075,-26.58
13751,2/20/2011 0:00:00,-69.7075,-26.3425
13751,2/21/2011 0:00:00,-69.5775,-26.075
13751,2/21/2011 0:00:00,-69.535,-26.3075
13751,2/22/2011 0:00:00,-69.1,-25.7575
13751,2/22/2011 0:00:00,-67.5325,-25.71
13751,2/23/2011 0:00:00,-65.49,-27.885
13751,2/23/2011 0:00:00,-65.4075,-27.8725
13751,2/24/2011 0:00:00,-67.2425,-25.3275
13751,2/24/2011 0:00:00,-68.07,-25.6575
13751,2/25/2011 0:00:00,-67.525,-28.1125
13751,2/25/2011 0:00:00,-67.71,-28.63
13751,2/26/2011 0:00:00,-68.8025,-27.6475
13751,2/26/2011 0:00:00,-68.9925,-28.825
13751,2/27/2011 0:00:00,-67.6375,-30.975
13751,2/27/2011 0:00:00,-66.31,-30.9025
13751,2/28/2011 0:00:00,-66.4875,-31.0475
13751,2/28/2011 0:00:00,-68.215,-31.3525
13751,3/1/2011 0:00:00,-69.825,-29
13751,3/1/2011 0:00:00,-69.4975,-27.5225
13751,3/2/2011 0:00:00,-67.62,-28.0175
13751,3/2/2011 0:00:00,-66.2,-26.8875
13751,3/3/2011 0:00:00,-66.9125,-26.2875
13751,3/3/2011 0:00:00,-68.495,-28.1875
13751,3/4/2011 0:00:00,-68.6925,-29.275
13751,3/4/2011 0:00:00,-67.92,-28.895
13751,3/5/2011 0:00:00,-67.4225,-28.9225
13751,3/5/2011 0:00:00,-67.33,-29.2325
13751,3/6/2011 0:00:00,-67.245,-29.2625
13751,3/6/2011 0:00:00,-67.235,-28.9475
13751,3/7/2011 0:00:00,-67.5625,-28.6
13751,3/7/2011 0:00:00,-67.65,-28.91
13751,3/8/2011 0:00:00,-66.9475,-29.285
13751,3/8/2011 0:00:00,-65.7625,-29.255
13751,3/9/2011 0:00:00,-64.8,-30.56
13751,3/11/2011 0:00:00,-64.8625,-32.9825
13751,3/11/2011 0:00:00,-65.25,-34.695
13751,3/12/2011 0:00:00,-65.2325,-35.8825
13751,3/12/2011 0:00:00,-65.3975,-36.885
13751,3/13/2011 0:00:00,-66.1475,-38.0475
13751,3/13/2011 0:00:00,-67.2475,-39.5825
13751,3/14/2011 0:00:00,-67.43,-40.49
13751,3/14/2011 0:00:00,-67.54,-40.055
13751,3/15/2011 0:00:00,-60.735,-35.465
13751,4/7/2011 0:00:00,-55.4325,-30.625
13751,4/7/2011 0:00:00,-59.525,-24.5675
13751,4/8/2011 0:00:00,-59.425,-19.665
13751,4/8/2011 0:00:00,-55.335,-16.7625
13751,4/9/2011 0:00:00,-52.7775,-14.5775
13751,4/9/2011 0:00:00,-50.055,-12.4225
13751,4/10/2011 0:00:00,-48.26,-10.05
13751,4/10/2011 0:00:00,-44.8025,-6.99
13751,4/11/2011 0:00:00,-39.3975,-3.4275
13751,4/11/2011 0:00:00,-38.2625,-0.4275
13751,4/11/2011 0:00:00,-34.875,1.07
13751,4/12/2011 0:00:00,-31.8275,0.66
13751,4/13/2011 0:00:00,-33.5525,-0.9675
13751,4/13/2011 0:00:00,-35.2775,-3.0925
13751,4/14/2011 0:00:00,-35.48,-6.03
13751,4/15/2011 0:00:00,-23.385,-11.3425
13751,4/15/2011 0:00:00,-17.36,-13.685
13751,4/16/2011 0:00:00,-14.135,-15.8425
13751,4/16/2011 0:00:00,-12.2575,-17.5925
13751,4/17/2011 0:00:00,-11.48,-18.965
13751,4/17/2011 0:00:00,-11.13,-19.8375
13751,4/18/2011 0:00:00,-8.5625,-20.68
13751,4/18/2011 0:00:00,-7.0525,-22.0825
13751,4/19/2011 0:00:00,-7.6025,-23.8575
13751,4/19/2011 0:00:00,-6.53,-25.3225
13751,4/20/2011 0:00:00,-4.355,-26.3825
13751,4/20/2011 0:00:00,-3.98,-27.595
13751,4/21/2011 0:00:00,-2.245,-29.62
13751,4/21/2011 0:00:00,0.57,-32.555
13751,4/22/2011 0:00:00,1.83,-35.865
13751,4/22/2011 0:00:00,5.43,-38.7025
13751,4/23/2011 0:00:00,9.7125,-40.725
13751,4/23/2011 0:00:00,10.815,-42.81
13751,4/24/2011 0:00:00,11.105,-45.4575
13751,4/24/2011 0:00:00,13.985,-47.825
13751,4/25/2011 0:00:00,17.9525,-49.6
13751,4/25/2011 0:00:00,19.0775,-51.8425
13751,4/26/2011 0:00:00,19.445,-55.0825
13751,4/26/2011 0:00:00,22.9525,-58.195
13751,4/27/2011 0:00:00,27.075,-60.525
13751,4/27/2011 0:00:00,31.3925,-62.0125
13751,4/28/2011 0:00:00,35.47,-62.315
13751,4/28/2011 0:00:00,37.92,-61.8975
13751,4/29/2011 0:00:00,39.31,-60.7575
13751,4/29/2011 0:00:00,39.06,-59.275
13751,4/30/2011 0:00:00,38.055,-57.92
13751,4/30/2011 0:00:00,38.045,-55.75
13751,5/1/2011 0:00:00,39.6425,-53.015
13751,5/1/2011 0:00:00,37.9975,-52.25
13751,5/2/2011 0:00:00,35.745,-54.89
13751,5/2/2011 0:00:00,37.1675,-58.8075
13751,5/3/2011 0:00:00,38.51,-62.1325
13751,5/3/2011 0:00:00,39.0825,-65.18
13751,5/4/2011 0:00:00,37.34,-66.975
13751,5/4/2011 0:00:00,36.0975,-67.395
13751,5/6/2011 0:00:00,38.4725,-68.1325
13751,5/6/2011 0:00:00,39.53,-68.96
13751,5/7/2011 0:00:00,38.9425,-69.7525
13751,5/7/2011 0:00:00,39.895,-70.1375
13751,5/8/2011 0:00:00,41.465,-69.55
13751,5/8/2011 0:00:00,41.8225,-69.1825
13751,5/9/2011 0:00:00,40.4,-68.66
13751,5/9/2011 0:00:00,37.665,-67.635
13751,5/10/2011 0:00:00,36.465,-67.89
13751,5/10/2011 0:00:00,37.4125,-69.0825
13751,5/11/2011 0:00:00,37.8,-69.555
13751,5/11/2011 0:00:00,37.7475,-69.2125
13751,5/12/2011 0:00:00,38.435,-68.7775
13751,5/12/2011 0:00:00,39.56,-68.4075
13751,5/13/2011 0:00:00,41.37,-68.3475
13751,5/13/2011 0:00:00,42.7875,-69.41
13751,5/14/2011 0:00:00,41.435,-69.8175
13751,5/14/2011 0:00:00,38.4475,-68.695
13751,5/15/2011 0:00:00,37.4425,-68.1925
13751,5/17/2011 0:00:00,38.325,-68.31
13751,5/17/2011 0:00:00,38.9125,-68.025
13751,5/18/2011 0:00:00,39.5225,-67.835
13751,5/18/2011 0:00:00,40.1325,-68.2675
13751,5/19/2011 0:00:00,39.985,-68.7625
13751,5/19/2011 0:00:00,39.2375,-69.1925
13751,5/20/2011 0:00:00,38.3125,-69.8725
13751,5/20/2011 0:00:00,38.295,-70.0225
13751,5/21/2011 0:00:00,39.0075,-69.515
13751,5/21/2011 0:00:00,39.3725,-69.1325
13751,5/22/2011 0:00:00,39.4375,-68.905
13751,5/22/2011 0:00:00,39.4225,-68.6775
13751,5/23/2011 0:00:00,39.37,-68.48
13751,5/23/2011 0:00:00,39.075,-68.4675
13751,5/24/2011 0:00:00,38.2375,-68.425
13751,5/24/2011 0:00:00,37.5675,-67.82
13751,5/25/2011 0:00:00,38.4875,-67.745
13751,5/25/2011 0:00:00,40.4175,-68.6075
13751,5/26/2011 0:00:00,40.805,-68.3775
13751,5/26/2011 0:00:00,39.4225,-67.2725
13751,5/27/2011 0:00:00,39,-67.5075
13751,5/27/2011 0:00:00,40.1175,-68.6175
13751,5/28/2011 0:00:00,40.44,-68.6975
13751,5/28/2011 0:00:00,39.6175,-68.025
13751,5/29/2011 0:00:00,39.4725,-68.1025
13751,5/29/2011 0:00:00,40.63,-68.3275
13751,5/31/2011 0:00:00,41.89,-67.7
13751,5/31/2011 0:00:00,41.89,-67.55
13751,6/1/2011 0:00:00,41.35,-68.5
13751,6/1/2011 0:00:00,42.0175,-68.8875
13751,6/2/2011 0:00:00,42.925,-67.805
13751,6/2/2011 0:00:00,42.425,-66.815
13751,6/3/2011 0:00:00,41.7575,-67.1075
13751,6/3/2011 0:00:00,42.165,-67.4925
13751,6/4/2011 0:00:00,43.08,-67.44
13751,6/4/2011 0:00:00,43.6925,-67.7325
13751,6/5/2011 0:00:00,43.95,-68.305
13751,6/5/2011 0:00:00,44.2325,-68.7825
13751,6/6/2011 0:00:00,43.915,-68.51
13751,6/6/2011 0:00:00,42.8075,-67.675
13751,6/7/2011 0:00:00,41.7975,-67.215
13751,6/7/2011 0:00:00,41.1075,-66.91
13751,6/8/2011 0:00:00,40.575,-66.5725
13751,6/8/2011 0:00:00,39.82,-66.55
13751,6/9/2011 0:00:00,38.95,-66.935
13751,6/9/2011 0:00:00,38.61,-67.16
13751,6/10/2011 0:00:00,38.4475,-66.915
13751,6/10/2011 0:00:00,38.8475,-67.1325
13751,6/14/2011 0:00:00,39.775,-67.75
13751,6/14/2011 0:00:00,39.7775,-67.5
13751,6/15/2011 0:00:00,40.105,-67.5675
13751,6/15/2011 0:00:00,41.67,-68.385
13751,6/16/2011 0:00:00,42.385,-67.9525
13751,6/16/2011 0:00:00,41.375,-67.1425
13751,6/17/2011 0:00:00,40.5575,-67.8325
13751,6/17/2011 0:00:00,40.64,-69.3375
13751,6/18/2011 0:00:00,40.055,-70.155
13751,6/18/2011 0:00:00,39.9825,-69.1575
13751,6/19/2011 0:00:00,41.405,-67.255
13751,6/19/2011 0:00:00,42.3425,-66.3225
13751,6/20/2011 0:00:00,30.0575,-47.6825
13752,6/12/2010 0:00:00,43.8275,-70.77
13752,6/12/2010 0:00:00,43.9375,-71.59
13752,6/13/2010 0:00:00,43.4425,-71.345
13752,6/13/2010 0:00:00,41.38,-70.9425
13752,6/14/2010 0:00:00,38.8025,-71.54
13752,6/14/2010 0:00:00,38.5325,-70.5775
13752,6/15/2010 0:00:00,41.3125,-68.71
13752,6/15/2010 0:00:00,43.805,-68.965
13752,6/16/2010 0:00:00,43.6275,-68.9075
13752,6/16/2010 0:00:00,42.65,-67.93
13752,6/18/2010 0:00:00,43.1075,-68.375
13752,6/18/2010 0:00:00,43.8075,-69.145
13752,6/19/2010 0:00:00,43.9125,-69.365
13752,6/19/2010 0:00:00,43.785,-69.8375
13752,6/20/2010 0:00:00,43.3425,-70.4675
13752,6/20/2010 0:00:00,43.6125,-70.1275
13752,6/21/2010 0:00:00,44.65,-68.8825
13752,6/21/2010 0:00:00,44.91,-68.45
13752,6/22/2010 0:00:00,44.19,-68.61
13752,6/22/2010 0:00:00,42.87,-68.865
13752,6/23/2010 0:00:00,41.6,-69.9025
13752,6/23/2010 0:00:00,41.7975,-70.3125
13752,6/24/2010 0:00:00,42.855,-69.47
13752,6/24/2010 0:00:00,43.4125,-68.755
13752,6/25/2010 0:00:00,43.83,-68.5425
13752,6/25/2010 0:00:00,43.9,-69.08
13752,6/26/2010 0:00:00,43.0025,-69.71
13752,6/26/2010 0:00:00,42.0675,-69.4325
13752,6/27/2010 0:00:00,41.8175,-69
13752,6/27/2010 0:00:00,41.555,-69.13
13752,6/28/2010 0:00:00,41.0025,-69.54
13752,6/28/2010 0:00:00,40.965,-69.4525
13752,6/29/2010 0:00:00,41.73,-69.1475
13752,6/29/2010 0:00:00,42.6725,-69.215
13752,6/30/2010 0:00:00,43.405,-69.2825
13752,6/30/2010 0:00:00,44,-69.29
13752,7/1/2010 0:00:00,44.47,-69.235
13752,7/1/2010 0:00:00,44.625,-69.335
13752,7/2/2010 0:00:00,44.3,-69.405
13752,7/2/2010 0:00:00,43.6825,-69.225
13752,7/3/2010 0:00:00,43.23,-69.295
13752,7/3/2010 0:00:00,43.1,-69.46
13752,7/4/2010 0:00:00,43.0625,-69.47
13752,7/4/2010 0:00:00,42.5825,-69.855
